handle	population	created_at	years_active	lifetime_prs	lifetime_merged	lifetime_non_self_merged	prs_per_year	non_self_per_year
jamietso	legalquants	2019-05-02T08:17:06Z	7.02	0	0	0	0.0	0.0
techie-ray	legalquants	2021-01-01T01:27:30Z	5.35	0	0	0	0.0	0.0
houfu	legalquants	2016-05-23T05:36:59Z	9.96	137	121	10	13.76	1.0
leondelnawaz	legalquants	2021-10-13T11:36:47Z	4.57	0	0	0	0.0	0.0
yuch85	legalquants	2024-11-15T14:15:49Z	1.47	4	2	2	2.72	1.36
AnsonLai	legalquants	2014-08-14T01:13:58Z	11.74	18	14	0	1.53	0.0
sarturko-maker	legalquants	2025-08-29T12:11:08Z	.69	0	0	0	0.0	0.0
case-thread	legalquants	2025-10-15T12:19:22Z	.56	0	0	0	0.0	0.0
Tucuxi-Inc	legalquants	NA	NA	0	0	0	NA	NA
thegreatsze	legalquants	2026-03-14T15:36:04Z	.15	0	0	0	0.0	0.0
RelentlessLeivas	legalquants	2025-07-30T22:23:22Z	.77	0	0	0	0.0	0.0
ebobferraris	legalquants	2020-03-27T14:02:24Z	6.12	3	3	3	0.49	0.49
eternalBackPain	legalquants	2022-01-07T01:37:19Z	4.33	4	3	0	0.92	0.0
KenPriore	legalquants	2023-05-11T22:24:18Z	2.99	0	0	0	0.0	0.0
LeonardHope	legalquants	2018-06-11T19:38:01Z	7.91	39	38	0	4.93	0.0
parthsagdeo	legalquants	2013-03-20T02:27:39Z	13.14	0	0	0	0.0	0.0
foolish-bandit	legalquants	2024-12-31T20:46:28Z	1.35	141	133	1	104.44	0.74
SaifAlYounan	legalquants	2026-03-02T16:54:18Z	.18	1	0	0	5.56	0.0
DC3044	legalquants	2015-11-05T16:20:59Z	10.51	0	0	0	0.0	0.0
kevanwee	legalquants	2015-12-24T01:35:43Z	10.38	26	25	3	2.5	0.29
zjing7843-prog	legalquants	2026-01-10T05:18:38Z	.32	1	0	0	3.12	0.0
rolldabones	legalquants	2025-01-20T09:21:25Z	1.29	0	0	0	0.0	0.0
oliverschmidtprietz	legalquants	2026-01-08T10:12:27Z	.33	0	0	0	0.0	0.0
rlfordon	legalquants	2015-09-02T04:40:41Z	10.69	11	10	3	1.03	0.28
technocrat	legalquants	2009-04-17T02:26:46Z	17.07	10	8	3	0.59	0.18
veronica-builds	legalquants	2026-02-01T16:57:35Z	.26	0	0	0	0.0	0.0
