date,title,summary
2025-04-16T00:01:00,"Law banning deepfakes of candidates in place for first time in GE2025, among other guidelines: ELD","This article covers Singapore’s new election laws and guidelines for GE2025, notably the first-time ban on deepfakes and digitally manipulated content misrepresenting candidates under the Elections (Integrity of Online Advertising) Act. Key legal points include strict controls on election advertising—both physical and online—with transparency requirements for paid ads and prohibitions on foreign involvement. The Films Act 1981 restricts political films, allowing only factual content. Election surveys and exit polls are banned from Writ issuance until Polling Day’s close. These measures aim to uphold election integrity, prevent misinformation, and ensure campaigns remain responsible and free from foreign interference, reinforcing Singapore’s commitment to fair democratic processes."
2025-04-26T00:01:00,Intellectual property is the secret sauce for a flourishing music industry: Opinion,"This article explores the pivotal role of intellectual property (IP), particularly copyright, in safeguarding musicians' rights amid evolving technologies. It highlights key legal precedents such as the Ed Sheeran case, which reaffirmed that common musical elements like chord progressions are not copyrightable, and Taylor Swift’s battle over master recordings, emphasizing ownership and control issues in traditional record deals. The rise of AI-generated music introduces new complexities regarding originality and ownership. Singapore’s updated Copyright Act and collective management organisations provide robust protections, urging musicians to actively manage their rights through contracts, record-keeping, and legal advice. The takeaway: IP is essential for sustaining creativity and livelihoods in the music industry."
2025-05-08T00:01:00,Generative AI a top priority for firms but privacy concerns remain: GIC survey,"This article discusses a GIC and Bain & Company survey highlighting generative AI as a strategic priority for firms, despite significant data privacy and talent concerns. Key legal aspects include data privacy compliance risks and the need for regulatory safeguards as companies adopt AI technologies. The survey reveals 36% of executives worry about privacy, underscoring the importance of robust data protection frameworks and due diligence. The article also touches on investment trends and the importance of identifying sustainable AI solutions amid hype, reflecting ongoing legal and regulatory scrutiny. The takeaway: firms must balance AI innovation with stringent privacy and compliance measures to mitigate legal risks."
2025-05-22T00:01:00,"New Law Academy programme will help young lawyers with ethical GenAI use, difficult clients","The Singapore Academy of Law (SAL) launched the Junior Lawyers Professional Certification Programme to equip young lawyers with practical skills and ethical guidance on generative AI (GenAI) use and client management. Targeting lawyers with under five years’ experience, it addresses challenges like high attrition and limited training by accelerating legal insight and judgment development. Modules cover civil trials, cross-examination, legal tech, and difficult client handling. Chief Justice Menon highlighted attrition causes, urging sustainable workplace reforms. This initiative reflects a proactive response to AI’s disruption and evolving professional demands, aiming to better prepare junior lawyers for modern legal practice."
2025-05-22T00:01:00,"New training programme launched for young lawyers to stay ahead of AI curve, strengthen basic advocacy and drafting skills","The Singapore Academy of Law (SAL) has launched the Junior Lawyers Professional Certification Programme (JLP) to equip young lawyers with AI literacy and reinforce core advocacy and drafting skills. Targeting lawyers within five years post-qualification, the voluntary programme offers structured modules on AI ethics, prompt engineering, and cross-border contracts, bridging the gap between Bar exams and specialist accreditation. It responds to the disruptive impact of generative AI tools like ChatGPT, raising client expectations and necessitating enhanced lawyer expertise. While addressing skill gaps and attrition, the JLP complements broader SAL initiatives tackling workplace pressures, with law firms pledging support for associate training."
2025-05-23T00:01:00,Singapore’s alternative dispute resolution ecosystem must evolve to stay relevant: Murali,"This article discusses Singapore’s evolving alternative dispute resolution (ADR) ecosystem, emphasizing its role in providing legal certainty amid global volatility. Key legal points include Singapore’s commitment to international conventions like the New York Convention, Hague Choice of Court, and notably the Singapore Convention on Mediation, enhancing cross-border enforceability of dispute resolutions. Innovations such as AI-assisted mediation and liberalized dispute resolution regimes allowing international arbitrators reflect Singapore’s adaptive strategy. The article highlights emerging ADR trends like pre-commencement mediation and Singapore’s global prominence as a preferred arbitration seat. The takeaway: Singapore’s ADR framework is strategically positioned to meet dynamic international legal and commercial challenges efficiently."
2025-05-26T00:01:00,"GenAI in resume writing, job assessments: Fair use or foul play?","This article explores the emerging legal and ethical considerations around the use of generative AI (GenAI) tools by job applicants during recruitment. Key legal aspects include employers’ varying policies on AI use—some banning it during assessments to ensure fair evaluation of candidates’ genuine skills, while others embrace AI as a legitimate aid reflecting modern workflows. The article highlights precedents of AI-friendly hiring practices with safeguards to detect misuse, balancing integrity and innovation. It underscores the evolving nature of employment law in AI contexts, emphasizing transparency, candidate honesty, and potential future policy adaptations. The takeaway: AI use in hiring remains a nuanced issue requiring careful regulatory and ethical navigation."
2025-05-30T00:01:00,Woman who claimed ‘voices’ told her to abuse maid has jail term more than doubled to 7 years,"This article covers the High Court’s decision to more than double Anita Damu’s jail term for abusing her domestic worker, rejecting her defense of auditory hallucinations. Initially sentenced to 2 years 7 months based on psychiatric reports, the court found her claim of hearing voices fabricated after thorough assessment and testimony. Chief Justice Sundaresh Menon deemed the original sentence manifestly inadequate given the severity and cruelty of the abuse, increasing it to 7 years and raising compensation to $21,588. The case underscores judicial scrutiny of mental health defenses and reinforces accountability for domestic worker abuse in Singapore."
2025-06-03T00:01:00,Fighting deepfakes with content ‘nutrition labels’: Opinion,"This article explores emerging legal and technological responses to the deepfake crisis, focusing on content ""nutrition labels"" that verify authenticity. Key legal developments include the EU’s AI Act (2024) and California’s Digital Content Provenance Standards Act (2026), both mandating disclosure of AI-generated or manipulated content. Adobe’s Content Credentials and Trust Mark tools embed metadata and invisible watermarks to prove content origin and edits, supporting transparency without targeting bad actors. However, adoption hurdles remain, such as limited browser support and inconsistent platform implementation. The initiative signals a shift toward global standards combating misinformation, empowering genuine creators and aiding legal compliance in digital content authenticity."
2025-07-03T00:01:00,3 out of 4 in Singapore cannot identify deepfake content: Cyber Security Agency survey,"This article highlights a 2024 Cyber Security Agency (CSA) survey revealing that 75% of Singaporeans struggle to identify deepfake videos despite high confidence levels. The rise of generative AI has complicated detection, increasing vulnerability to scams. The survey also notes mixed results in phishing awareness and an encouraging rise in cybersecurity practices like two-factor authentication and app installations. Experts warn that sophisticated AI-driven scams erode digital trust, threatening online service efficiency. CSA plans a national campaign to boost cyber hygiene. For legal professionals, this underscores evolving cyber risks, the importance of digital literacy, and potential regulatory or advisory roles in combating AI-enabled fraud."
